,crime_type,crime_nb,precinct,zipcode
813,Robbery ,366,48,10457
814,Robbery ,164,49,10461
815,Robbery ,136,50,10463
816,Robbery ,430,52,10467
817,Robbery ,68,5,10013
818,Robbery ,256,60,11224
819,Robbery ,216,61,11223
820,Robbery ,149,62,11214
821,Robbery ,184,63,11210
822,Robbery ,132,66,11218
823,Robbery ,458,67,11226
824,Robbery ,85,68,11220
825,Robbery ,192,69,11236
826,Robbery ,90,6,10011
827,Robbery ,291,70,11230
828,Robbery ,286,71,11225
829,Robbery ,189,72,11232
830,Robbery ,390,73,11212
831,Robbery ,800,75,11208
832,Robbery ,80,76,11231
833,Robbery ,284,77,11213
834,Robbery ,90,78,11217
835,Robbery ,309,79,11211
836,Robbery ,110,7,10002
837,Robbery ,304,81,11221
838,Robbery ,326,83,11237
839,Robbery ,131,84,11201
840,Robbery ,191,88,11205
841,Robbery ,239,90,11211
842,Robbery ,85,94,11222
843,Robbery ,99,9,10003
844,Robbery ,20,CPP,10024
845,Robbery ,128,MNP,10019
846,Robbery ,172,MSP,10001
847,Shooting Inc. ,12,100,11693
848,Shooting Inc. ,28,101,11691
849,Shooting Inc. ,7,102,11418
850,Shooting Inc. ,17,103,11432
851,Shooting Inc. ,7,104,11385
852,Shooting Inc. ,11,105,11428
853,Shooting Inc. ,4,106,11417
854,Shooting Inc. ,4,107,11365
855,Shooting Inc. ,2,108,11105
856,Shooting Inc. ,5,109,11354
857,Shooting Inc. ,1,10,10011
858,Shooting Inc. ,5,110,11368
859,Shooting Inc. ,0,111,11361
860,Shooting Inc. ,0,112,11375
861,Shooting Inc. ,30,113,11434
862,Shooting Inc. ,18,114,11103
863,Shooting Inc. ,7,115,11372
864,Shooting Inc. ,22,120,10301
865,Shooting Inc. ,13,121,None
866,Shooting Inc. ,3,122,10306
867,Shooting Inc. ,0,123,10307
868,Shooting Inc. ,2,13,10010
869,Shooting Inc. ,0,17,10017
870,Shooting Inc. ,0,19,10021
871,Shooting Inc. ,0,1,10013
872,Shooting Inc. ,1,20,10020
873,Shooting Inc. ,14,23,10029
874,Shooting Inc. ,1,24,10025
875,Shooting Inc. ,13,25,10035
876,Shooting Inc. ,7,26,10027
877,Shooting Inc. ,7,28,10027
878,Shooting Inc. ,14,30,10028
879,Shooting Inc. ,22,32,10030
880,Shooting Inc. ,6,33,10031
881,Shooting Inc. ,8,34,10033
882,Shooting Inc. ,37,40,10454
883,Shooting Inc. ,20,41,10459
884,Shooting Inc. ,35,42,10452
885,Shooting Inc. ,38,43,10472
886,Shooting Inc. ,41,44,10452
887,Shooting Inc. ,4,45,10465
888,Shooting Inc. ,42,46,10457
889,Shooting Inc. ,49,47,10466
890,Shooting Inc. ,25,48,10457
891,Shooting Inc. ,15,49,10461
892,Shooting Inc. ,9,50,10463
893,Shooting Inc. ,24,52,10467
894,Shooting Inc. ,2,5,10013
895,Shooting Inc. ,23,60,11224
896,Shooting Inc. ,3,61,11223
897,Shooting Inc. ,2,62,11214
898,Shooting Inc. ,12,63,11210
899,Shooting Inc. ,1,66,11218
900,Shooting Inc. ,62,67,11226
901,Shooting Inc. ,0,68,11220
902,Shooting Inc. ,35,69,11236
903,Shooting Inc. ,2,6,10011
904,Shooting Inc. ,23,70,11230
905,Shooting Inc. ,29,71,11225
906,Shooting Inc. ,3,72,11232
907,Shooting Inc. ,69,73,11212
908,Shooting Inc. ,64,75,11208
909,Shooting Inc. ,5,76,11231
910,Shooting Inc. ,38,77,11213
911,Shooting Inc. ,3,78,11217
912,Shooting Inc. ,34,79,11211
913,Shooting Inc. ,2,7,10002
914,Shooting Inc. ,41,81,11221
915,Shooting Inc. ,21,83,11237
916,Shooting Inc. ,7,84,11201
917,Shooting Inc. ,12,88,11205
918,Shooting Inc. ,18,90,11211
919,Shooting Inc. ,2,94,11222
920,Shooting Inc. ,3,9,10003
921,Shooting Inc. ,0,CPP,10024
922,Shooting Inc. ,0,MNP,10019
923,Shooting Inc. ,0,MSP,10001
924,Shooting Vic. ,13,100,11693
925,Shooting Vic. ,29,101,11691
926,Shooting Vic. ,7,102,11418
927,Shooting Vic. ,21,103,11432
928,Shooting Vic. ,8,104,11385
929,Shooting Vic. ,12,105,11428
930,Shooting Vic. ,4,106,11417
931,Shooting Vic. ,4,107,11365
932,Shooting Vic. ,5,108,11105
933,Shooting Vic. ,5,109,11354
934,Shooting Vic. ,1,10,10011
935,Shooting Vic. ,8,110,11368
936,Shooting Vic. ,0,111,11361
937,Shooting Vic. ,0,112,11375
938,Shooting Vic. ,40,113,11434
939,Shooting Vic. ,24,114,11103
940,Shooting Vic. ,10,115,11372
941,Shooting Vic. ,24,120,10301
942,Shooting Vic. ,16,121,None
943,Shooting Vic. ,3,122,10306
944,Shooting Vic. ,0,123,10307
945,Shooting Vic. ,3,13,10010
946,Shooting Vic. ,0,17,10017
947,Shooting Vic. ,0,19,10021
948,Shooting Vic. ,0,1,10013
949,Shooting Vic. ,2,20,10020
950,Shooting Vic. ,17,23,10029
951,Shooting Vic. ,1,24,10025
952,Shooting Vic. ,19,25,10035
953,Shooting Vic. ,7,26,10027
954,Shooting Vic. ,8,28,10027
955,Shooting Vic. ,17,30,10028
956,Shooting Vic. ,23,32,10030
957,Shooting Vic. ,7,33,10031
958,Shooting Vic. ,10,34,10033
959,Shooting Vic. ,42,40,10454
960,Shooting Vic. ,21,41,10459
961,Shooting Vic. ,39,42,10452
962,Shooting Vic. ,45,43,10472
963,Shooting Vic. ,47,44,10452
964,Shooting Vic. ,5,45,10465
965,Shooting Vic. ,52,46,10457
966,Shooting Vic. ,56,47,10466
967,Shooting Vic. ,31,48,10457
968,Shooting Vic. ,16,49,10461
969,Shooting Vic. ,10,50,10463
970,Shooting Vic. ,28,52,10467
971,Shooting Vic. ,2,5,10013
972,Shooting Vic. ,25,60,11224
973,Shooting Vic. ,3,61,11223
974,Shooting Vic. ,2,62,11214
975,Shooting Vic. ,13,63,11210
976,Shooting Vic. ,2,66,11218
977,Shooting Vic. ,84,67,11226
978,Shooting Vic. ,0,68,11220
979,Shooting Vic. ,41,69,11236
980,Shooting Vic. ,4,6,10011
981,Shooting Vic. ,29,70,11230
982,Shooting Vic. ,36,71,11225
983,Shooting Vic. ,3,72,11232
984,Shooting Vic. ,85,73,11212
985,Shooting Vic. ,71,75,11208
986,Shooting Vic. ,6,76,11231
987,Shooting Vic. ,43,77,11213
988,Shooting Vic. ,4,78,11217
989,Shooting Vic. ,39,79,11211
990,Shooting Vic. ,2,7,10002
991,Shooting Vic. ,46,81,11221
992,Shooting Vic. ,24,83,11237
993,Shooting Vic. ,7,84,11201
994,Shooting Vic. ,15,88,11205
995,Shooting Vic. ,26,90,11211
996,Shooting Vic. ,3,94,11222
997,Shooting Vic. ,3,9,10003
998,Shooting Vic. ,0,CPP,10024
999,Shooting Vic. ,0,MNP,10019
1000,Shooting Vic. ,0,MSP,10001
1001,Transit ,9,100,11693
1002,Transit ,10,101,11691
1003,Transit ,10,102,11418
1004,Transit ,17,103,11432
1005,Transit ,7,104,11385
1006,Transit ,0,105,11428
1007,Transit ,27,106,11417
1008,Transit ,23,107,11365
1009,Transit ,57,108,11105
1010,Transit ,25,109,11354
1011,Transit ,11,10,10011
1012,Transit ,30,110,11368
1013,Transit ,0,111,11361
1014,Transit ,35,112,11375
1015,Transit ,0,113,11434
1016,Transit ,13,114,11103
1017,Transit ,33,115,11372
1018,Transit ,0,120,10301
1019,Transit ,0,121,None
1020,Transit ,0,122,10306
1021,Transit ,0,123,10307
1022,Transit ,58,13,10010
1023,Transit ,27,17,10017
1024,Transit ,16,19,10021
1025,Transit ,51,1,10013
1026,Transit ,12,20,10020
1027,Transit ,6,23,10029
1028,Transit ,41,24,10025
1029,Transit ,18,25,10035
1030,Transit ,26,26,10027
1031,Transit ,14,28,10027
1032,Transit ,17,30,10028
1033,Transit ,9,32,10030
1034,Transit ,22,33,10031
1035,Transit ,28,34,10033
1036,Transit ,56,40,10454
1037,Transit ,22,41,10459
1038,Transit ,7,42,10452
1039,Transit ,23,43,10472
1040,Transit ,48,44,10452
1041,Transit ,12,45,10465
1042,Transit ,33,46,10457
1043,Transit ,33,47,10466
1044,Transit ,14,48,10457
1045,Transit ,9,49,10461
1046,Transit ,21,50,10463
1047,Transit ,39,52,10467
1048,Transit ,40,5,10013
1049,Transit ,25,60,11224
1050,Transit ,18,61,11223
1051,Transit ,16,62,11214
1052,Transit ,0,63,11210
1053,Transit ,12,66,11218
1054,Transit ,8,67,11226
1055,Transit ,6,68,11220
1056,Transit ,19,69,11236
1057,Transit ,36,6,10011
1058,Transit ,21,70,11230
1059,Transit ,23,71,11225
1060,Transit ,15,72,11232
1061,Transit ,56,73,11212
1062,Transit ,52,75,11208
1063,Transit ,5,76,11231
1064,Transit ,25,77,11213
1065,Transit ,31,78,11217
1066,Transit ,19,79,11211
1067,Transit ,11,7,10002
1068,Transit ,15,81,11221
1069,Transit ,18,83,11237
1070,Transit ,78,84,11201
1071,Transit ,32,88,11205
1072,Transit ,24,90,11211
1073,Transit ,14,94,11222
1074,Transit ,17,9,10003
1075,Transit ,0,CPP,10024
1076,Transit ,48,MNP,10019
1077,Transit ,100,MSP,10001
